Image Path,Output
/content/drive/MyDrive/Deep Learning/Image_set/other (4).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (36).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (5).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (31).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (19).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (33).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (10).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (1).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (14).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (26).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (39).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (3).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (13).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (21).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (25).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (34).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (7).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (18).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (41).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (23).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (35).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (17).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (42).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (9).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (24).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (45).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (38).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (6).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (16).jpg,Unknown
